Indicator,Year,WHO region,Country,Causes,Display Value,Numeric
"Age-standardized DALYs (per 100,000)",2012,Americas,Argentina,Communicable & other Group I,"3,706",3706.05298
"Age-standardized DALYs (per 100,000)",2012,Americas,Argentina,Noncommunicable diseases,"20,093",20092.7793
"Age-standardized DALYs (per 100,000)",2012,Americas,Argentina,Injuries,"3,009",3009.354
"Age-standardized DALYs (per 100,000)",2000,Europe,Armenia,All Causes,"35,104",35104.42969
"Age-standardized DALYs (per 100,000)",2000,Europe,Armenia,Communicable & other Group I,"4,956",4955.84424
"Age-standardized DALYs (per 100,000)",2000,Europe,Armenia,Noncommunicable diseases,"27,207",27206.73047
"Age-standardized DALYs (per 100,000)",2000,Europe,Armenia,Injuries,"2,942",2941.86011
"Age-standardized DALYs (per 100,000)",2012,Europe,Armenia,All Causes,"35,083",35083.03125
"Age-standardized DALYs (per 100,000)",2012,Europe,Armenia,Communicable & other Group I,"3,719",3719.0459
"Age-standardized DALYs (per 100,000)",2012,Europe,Armenia,Noncommunicable diseases,"28,090",28089.73047
"Age-standardized DALYs (per 100,000)",2012,Europe,Armenia,Injuries,"3,274",3274.25708
"Age-standardized DALYs (per 100,000)",2000,Western Pacific,Australia,All Causes,"20,785",20785.41992
"Age-standardized DALYs (per 100,000)",2000,Western Pacific,Australia,Communicable & other Group I,"1,333",1332.55396
"Age-standardized DALYs (per 100,000)",2000,Western Pacific,Australia,Noncommunicable diseases,"16,782",16782.11914
"Age-standardized DALYs (per 100,000)",2000,Western Pacific,Australia,Injuries,"2,671",2670.75195
"Age-standardized DALYs (per 100,000)",2012,Western Pacific,Australia,All Causes,"17,696",17695.91992
"Age-standardized DALYs (per 100,000)",2012,Western Pacific,Australia,Communicable & other Group I,"1,161",1161.32202
"Age-standardized DALYs (per 100,000)",2012,Western Pacific,Australia,Noncommunicable diseases,"14,458",14458.09961
"Age-standardized DALYs (per 100,000)",2012,Western Pacific,Australia,Injuries,"2,076",2076.49707
"Age-standardized DALYs (per 100,000)",2000,Europe,Austria,All Causes,"22,536",22536.44922
"Age-standardized DALYs (per 100,000)",2000,Europe,Austria,Communicable & other Group I,"1,023",1022.75702
"Age-standardized DALYs (per 100,000)",2000,Europe,Austria,Noncommunicable diseases,"18,654",18653.69922
"Age-standardized DALYs (per 100,000)",2000,Europe,Austria,Injuries,"2,860",2859.98901
"Age-standardized DALYs (per 100,000)",2012,Europe,Austria,All Causes,"19,763",19763.44922
"Age-standardized DALYs (per 100,000)",2012,Europe,Austria,Communicable & other Group I,934,933.51617
"Age-standardized DALYs (per 100,000)",2012,Europe,Austria,Noncommunicable diseases,"16,748",16747.7207
"Age-standardized DALYs (per 100,000)",2012,Europe,Austria,Injuries,"2,082",2082.21606
"Age-standardized DALYs (per 100,000)",2000,Europe,Azerbaijan,All Causes,"45,307",45307.21875
"Age-standardized DALYs (per 100,000)",2000,Europe,Azerbaijan,Communicable & other Group I,"11,894",11893.50977
"Age-standardized DALYs (per 100,000)",2000,Europe,Azerbaijan,Noncommunicable diseases,"30,046",30046.38086
"Age-standardized DALYs (per 100,000)",2000,Europe,Azerbaijan,Injuries,"3,367",3367.3291
"Age-standardized DALYs (per 100,000)",2012,Europe,Azerbaijan,All Causes,"33,879",33879.35938
"Age-standardized DALYs (per 100,000)",2012,Europe,Azerbaijan,Communicable & other Group I,"6,634",6633.62988
"Age-standardized DALYs (per 100,000)",2012,Europe,Azerbaijan,Noncommunicable diseases,"24,465",24464.51953
"Age-standardized DALYs (per 100,000)",2012,Europe,Azerbaijan,Injuries,"2,781",2781.21411
"Age-standardized DALYs (per 100,000)",2000,Africa,Burundi,All Causes,"107,301",107300.5
"Age-standardized DALYs (per 100,000)",2000,Africa,Burundi,Communicable & other Group I,"65,366",65365.78906
"Age-standardized DALYs (per 100,000)",2000,Africa,Burundi,Noncommunicable diseases,"29,861",29861.09961
"Age-standardized DALYs (per 100,000)",2000,Africa,Burundi,Injuries,"12,074",12073.61035
"Age-standardized DALYs (per 100,000)",2012,Africa,Burundi,All Causes,"80,027",80026.65625
"Age-standardized DALYs (per 100,000)",2012,Africa,Burundi,Communicable & other Group I,"40,770",40770.48828
"Age-standardized DALYs (per 100,000)",2012,Africa,Burundi,Noncommunicable diseases,"31,116",31115.5293
"Age-standardized DALYs (per 100,000)",2012,Africa,Burundi,Injuries,"8,141",8140.64502
"Age-standardized DALYs (per 100,000)",2000,Europe,Belgium,All Causes,"22,910",22909.55078
"Age-standardized DALYs (per 100,000)",2000,Europe,Belgium,Communicable & other Group I,"1,361",1361.12598
"Age-standardized DALYs (per 100,000)",2000,Europe,Belgium,Noncommunicable diseases,"18,351",18350.69922
"Age-standardized DALYs (per 100,000)",2000,Europe,Belgium,Injuries,"3,198",3197.72705
"Age-standardized DALYs (per 100,000)",2012,Europe,Belgium,All Causes,"19,878",19877.60938
"Age-standardized DALYs (per 100,000)",2012,Europe,Belgium,Communicable & other Group I,"1,162",1162.297
"Age-standardized DALYs (per 100,000)",2012,Europe,Belgium,Noncommunicable diseases,"16,246",16246.16016
"Age-standardized DALYs (per 100,000)",2012,Europe,Belgium,Injuries,"2,469",2469.14697
"Age-standardized DALYs (per 100,000)",2000,Africa,Benin,All Causes,"85,433",85432.64063
"Age-standardized DALYs (per 100,000)",2000,Africa,Benin,Communicable & other Group I,"49,116",49115.80078
"Age-standardized DALYs (per 100,000)",2000,Africa,Benin,Noncommunicable diseases,"30,436",30435.69922
"Age-standardized DALYs (per 100,000)",2000,Africa,Benin,Injuries,"5,881",5881.13379
"Age-standardized DALYs (per 100,000)",2012,Africa,Benin,All Causes,"65,706",65706.29688
"Age-standardized DALYs (per 100,000)",2012,Africa,Benin,Communicable & other Group I,"31,393",31392.98047
"Age-standardized DALYs (per 100,000)",2012,Africa,Benin,Noncommunicable diseases,"29,093",29093.15039
"Age-standardized DALYs (per 100,000)",2012,Africa,Benin,Injuries,"5,220",5220.16602
"Age-standardized DALYs (per 100,000)",2000,Africa,Burkina Faso,All Causes,"101,477",101477.2969
"Age-standardized DALYs (per 100,000)",2000,Africa,Burkina Faso,Communicable & other Group I,"66,522",66521.82813
"Age-standardized DALYs (per 100,000)",2000,Africa,Burkina Faso,Noncommunicable diseases,"28,661",28660.66992
"Age-standardized DALYs (per 100,000)",2000,Africa,Burkina Faso,Injuries,"6,295",6294.78076
"Age-standardized DALYs (per 100,000)",2012,Africa,Burkina Faso,All Causes,"70,891",70890.77344
"Age-standardized DALYs (per 100,000)",2012,Africa,Burkina Faso,Communicable & other Group I,"34,532",34531.83984
"Age-standardized DALYs (per 100,000)",2012,Africa,Burkina Faso,Noncommunicable diseases,"30,108",30107.66016
"Age-standardized DALYs (per 100,000)",2012,Africa,Burkina Faso,Injuries,"6,251",6251.271
"Age-standardized DALYs (per 100,000)",2000,South-East Asia,Bangladesh,All Causes,"52,136",52136.17969
"Age-standardized DALYs (per 100,000)",2000,South-East Asia,Bangladesh,Communicable & other Group I,"23,279",23278.88086
"Age-standardized DALYs (per 100,000)",2000,South-East Asia,Bangladesh,Noncommunicable diseases,"24,288",24287.51953
"Age-standardized DALYs (per 100,000)",2000,South-East Asia,Bangladesh,Injuries,"4,570",4569.77979
"Age-standardized DALYs (per 100,000)",2012,South-East Asia,Bangladesh,All Causes,"38,814",38814.17969
"Age-standardized DALYs (per 100,000)",2012,South-East Asia,Bangladesh,Communicable & other Group I,"12,774",12773.9502
"Age-standardized DALYs (per 100,000)",2012,South-East Asia,Bangladesh,Noncommunicable diseases,"22,507",22507.39063
"Age-standardized DALYs (per 100,000)",2012,South-East Asia,Bangladesh,Injuries,"3,533",3532.84497
"Age-standardized DALYs (per 100,000)",2000,Europe,Bulgaria,All Causes,"33,608",33608.5
"Age-standardized DALYs (per 100,000)",2000,Europe,Bulgaria,Communicable & other Group I,"3,781",3780.81396
"Age-standardized DALYs (per 100,000)",2000,Europe,Bulgaria,Noncommunicable diseases,"26,309",26309.08984
"Age-standardized DALYs (per 100,000)",2000,Europe,Bulgaria,Injuries,"3,519",3518.59692
"Age-standardized DALYs (per 100,000)",2012,Europe,Bulgaria,All Causes,"28,771",28770.61914
"Age-standardized DALYs (per 100,000)",2012,Europe,Bulgaria,Communicable & other Group I,"2,666",2666.4209
"Age-standardized DALYs (per 100,000)",2012,Europe,Bulgaria,Noncommunicable diseases,"23,273",23272.81055
"Age-standardized DALYs (per 100,000)",2012,Europe,Bulgaria,Injuries,"2,831",2831.39697
"Age-standardized DALYs (per 100,000)",2000,Eastern Mediterranean,Bahrain,All Causes,"29,903",29903.42969
"Age-standardized DALYs (per 100,000)",2000,Eastern Mediterranean,Bahrain,Communicable & other Group I,"2,884",2884.19604
"Age-standardized DALYs (per 100,000)",2000,Eastern Mediterranean,Bahrain,Noncommunicable diseases,"24,337",24337.33984
"Age-standardized DALYs (per 100,000)",2000,Eastern Mediterranean,Bahrain,Injuries,"2,682",2681.89697
"Age-standardized DALYs (per 100,000)",2012,Eastern Mediterranean,Bahrain,All Causes,"25,533",25532.73047
"Age-standardized DALYs (per 100,000)",2012,Eastern Mediterranean,Bahrain,Communicable & other Group I,"2,861",2861.04492
"Age-standardized DALYs (per 100,000)",2012,Eastern Mediterranean,Bahrain,Noncommunicable diseases,"20,524",20523.51953
"Age-standardized DALYs (per 100,000)",2012,Eastern Mediterranean,Bahrain,Injuries,"2,148",2148.17212
"Age-standardized DALYs (per 100,000)",2000,Americas,Bahamas,All Causes,"34,269",34268.66016
"Age-standardized DALYs (per 100,000)",2000,Americas,Bahamas,Communicable & other Group I,"11,766",11765.86035
"Age-standardized DALYs (per 100,000)",2000,Americas,Bahamas,Noncommunicable diseases,"19,522",19521.55078
"Age-standardized DALYs (per 100,000)",2000,Americas,Bahamas,Injuries,"2,981",2981.25195
"Age-standardized DALYs (per 100,000)",2012,Americas,Bahamas,All Causes,"30,459",30459.25
"Age-standardized DALYs (per 100,000)",2012,Americas,Bahamas,Communicable & other Group I,"7,820",7820.45313
"Age-standardized DALYs (per 100,000)",2012,Americas,Bahamas,Noncommunicable diseases,"19,109",19108.86914
"Age-standardized DALYs (per 100,000)",2012,Americas,Bahamas,Injuries,"3,530",3529.92603
"Age-standardized DALYs (per 100,000)",2000,Europe,Bosnia and Herzegovina,All Causes,"28,285",28284.91992
"Age-standardized DALYs (per 100,000)",2000,Europe,Bosnia and Herzegovina,Communicable & other Group I,"2,527",2527.29297
"Age-standardized DALYs (per 100,000)",2000,Europe,Bosnia and Herzegovina,Noncommunicable diseases,"22,456",22456.26953
"Age-standardized DALYs (per 100,000)",2000,Europe,Bosnia and Herzegovina,Injuries,"3,301",3301.35693
"Age-standardized DALYs (per 100,000)",2012,Europe,Bosnia and Herzegovina,All Causes,"24,000",23999.94922
"Age-standardized DALYs (per 100,000)",2012,Europe,Bosnia and Herzegovina,Communicable & other Group I,"1,820",1820.34998
"Age-standardized DALYs (per 100,000)",2012,Europe,Bosnia and Herzegovina,Noncommunicable diseases,"19,278",19278.03906
"Age-standardized DALYs (per 100,000)",2012,Europe,Bosnia and Herzegovina,Injuries,"2,902",2901.56494
"Age-standardized DALYs (per 100,000)",2000,Europe,Belarus,All Causes,"40,636",40635.69922
"Age-standardized DALYs (per 100,000)",2000,Europe,Belarus,Communicable & other Group I,"3,114",3113.66504
"Age-standardized DALYs (per 100,000)",2000,Europe,Belarus,Noncommunicable diseases,"30,369",30368.89063
"Age-standardized DALYs (per 100,000)",2000,Europe,Belarus,Injuries,"7,153",7153.1499
"Age-standardized DALYs (per 100,000)",2012,Europe,Belarus,All Causes,"33,783",33782.85938
"Age-standardized DALYs (per 100,000)",2012,Europe,Belarus,Communicable & other Group I,"2,598",2598.03198
"Age-standardized DALYs (per 100,000)",2012,Europe,Belarus,Noncommunicable diseases,"26,283",26282.85938
"Age-standardized DALYs (per 100,000)",2012,Europe,Belarus,Injuries,"4,902",4901.97412
"Age-standardized DALYs (per 100,000)",2000,Americas,Belize,All Causes,"35,540",35540.03906
"Age-standardized DALYs (per 100,000)",2000,Americas,Belize,Communicable & other Group I,"7,654",7653.60107
"Age-standardized DALYs (per 100,000)",2000,Americas,Belize,Noncommunicable diseases,"22,066",22065.58984
"Age-standardized DALYs (per 100,000)",2000,Americas,Belize,Injuries,"5,821",5820.84814
"Age-standardized DALYs (per 100,000)",2012,Americas,Belize,All Causes,"31,420",31419.88086
"Age-standardized DALYs (per 100,000)",2012,Americas,Belize,Communicable & other Group I,"6,164",6163.52686
"Age-standardized DALYs (per 100,000)",2012,Americas,Belize,Noncommunicable diseases,"19,960",19959.63086
"Age-standardized DALYs (per 100,000)",2012,Americas,Belize,Injuries,"5,297",5296.72607
"Age-standardized DALYs (per 100,000)",2000,Americas,Bolivia (Plurinational State of),All Causes,"56,175",56175.10938
"Age-standardized DALYs (per 100,000)",2000,Americas,Bolivia (Plurinational State of),Communicable & other Group I,"20,214",20213.91992
"Age-standardized DALYs (per 100,000)",2000,Americas,Bolivia (Plurinational State of),Noncommunicable diseases,"28,913",28913.36914
"Age-standardized DALYs (per 100,000)",2000,Americas,Bolivia (Plurinational State of),Injuries,"7,048",7047.81592
"Age-standardized DALYs (per 100,000)",2012,Americas,Bolivia (Plurinational State of),All Causes,"44,087",44086.69141
"Age-standardized DALYs (per 100,000)",2012,Americas,Bolivia (Plurinational State of),Communicable & other Group I,"12,622",12622.40039
"Age-standardized DALYs (per 100,000)",2012,Americas,Bolivia (Plurinational State of),Noncommunicable diseases,"25,553",25553.43945
"Age-standardized DALYs (per 100,000)",2012,Americas,Bolivia (Plurinational State of),Injuries,"5,911",5910.85498
"Age-standardized DALYs (per 100,000)",2000,Americas,Brazil,All Causes,"38,100",38100.25
"Age-standardized DALYs (per 100,000)",2000,Americas,Brazil,Communicable & other Group I,"7,866",7866.05322
"Age-standardized DALYs (per 100,000)",2000,Americas,Brazil,Noncommunicable diseases,"25,523",25523.5
"Age-standardized DALYs (per 100,000)",2000,Americas,Brazil,Injuries,"4,711",4710.70313
"Age-standardized DALYs (per 100,000)",2012,Americas,Brazil,All Causes,"31,632",31631.7207
"Age-standardized DALYs (per 100,000)",2012,Americas,Brazil,Communicable & other Group I,"4,804",4803.89307
"Age-standardized DALYs (per 100,000)",2012,Americas,Brazil,Noncommunicable diseases,"22,160",22160.25
"Age-standardized DALYs (per 100,000)",2012,Americas,Brazil,Injuries,"4,668",4667.5752
"Age-standardized DALYs (per 100,000)",2000,Americas,Barbados,All Causes,"30,067",30067.23047
"Age-standardized DALYs (per 100,000)",2000,Americas,Barbados,Communicable & other Group I,"5,578",5578.27783
"Age-standardized DALYs (per 100,000)",2000,Americas,Barbados,Noncommunicable diseases,"21,766",21765.89063
"Age-standardized DALYs (per 100,000)",2000,Americas,Barbados,Injuries,"2,723",2723.06201
"Age-standardized DALYs (per 100,000)",2012,Americas,Barbados,All Causes,"26,768",26767.90039
"Age-standardized DALYs (per 100,000)",2012,Americas,Barbados,Communicable & other Group I,"4,249",4248.66309
"Age-standardized DALYs (per 100,000)",2012,Americas,Barbados,Noncommunicable diseases,"19,498",19497.81055
"Age-standardized DALYs (per 100,000)",2012,Americas,Barbados,Injuries,"3,021",3021.427
"Age-standardized DALYs (per 100,000)",2000,Western Pacific,Brunei Darussalam,All Causes,"24,686",24686
"Age-standardized DALYs (per 100,000)",2000,Western Pacific,Brunei Darussalam,Communicable & other Group I,"2,456",2456.41797
"Age-standardized DALYs (per 100,000)",2000,Western Pacific,Brunei Darussalam,Noncommunicable diseases,"19,545",19545.10938
"Age-standardized DALYs (per 100,000)",2000,Western Pacific,Brunei Darussalam,Injuries,"2,684",2684.47095
"Age-standardized DALYs (per 100,000)",2012,Western Pacific,Brunei Darussalam,All Causes,"22,941",22940.58008
"Age-standardized DALYs (per 100,000)",2012,Western Pacific,Brunei Darussalam,Communicable & other Group I,"2,205",2205.44312
"Age-standardized DALYs (per 100,000)",2012,Western Pacific,Brunei Darussalam,Noncommunicable diseases,"18,443",18443.09961
"Age-standardized DALYs (per 100,000)",2012,Western Pacific,Brunei Darussalam,Injuries,"2,292",2292.04199
"Age-standardized DALYs (per 100,000)",2000,South-East Asia,Bhutan,All Causes,"65,068",65067.89063
"Age-standardized DALYs (per 100,000)",2000,South-East Asia,Bhutan,Communicable & other Group I,"24,013",24013.33984
"Age-standardized DALYs (per 100,000)",2000,South-East Asia,Bhutan,Noncommunicable diseases,"28,324",28324.25977
"Age-standardized DALYs (per 100,000)",2000,South-East Asia,Bhutan,Injuries,"12,730",12730.29004
"Age-standardized DALYs (per 100,000)",2012,South-East Asia,Bhutan,All Causes,"44,059",44059.05078
"Age-standardized DALYs (per 100,000)",2012,South-East Asia,Bhutan,Communicable & other Group I,"11,694",11693.92969
"Age-standardized DALYs (per 100,000)",2012,South-East Asia,Bhutan,Noncommunicable diseases,"24,684",24683.55078
"Age-standardized DALYs (per 100,000)",2012,South-East Asia,Bhutan,Injuries,"7,682",7681.57617
"Age-standardized DALYs (per 100,000)",2000,Africa,Botswana,All Causes,"114,728",114727.8984
"Age-standardized DALYs (per 100,000)",2000,Africa,Botswana,Communicable & other Group I,"86,832",86831.61719
"Age-standardized DALYs (per 100,000)",2000,Africa,Botswana,Noncommunicable diseases,"22,838",22837.7207
"Age-standardized DALYs (per 100,000)",2000,Africa,Botswana,Injuries,"5,059",5058.5498
"Age-standardized DALYs (per 100,000)",2012,Africa,Botswana,All Causes,"61,513",61512.76953
"Age-standardized DALYs (per 100,000)",2012,Africa,Botswana,Communicable & other Group I,"32,066",32066.2793
"Age-standardized DALYs (per 100,000)",2012,Africa,Botswana,Noncommunicable diseases,"24,566",24566.01953
"Age-standardized DALYs (per 100,000)",2012,Africa,Botswana,Injuries,"4,880",4880.47412
"Age-standardized DALYs (per 100,000)",2000,Africa,Central African Republic,All Causes,"122,132",122131.8984
"Age-standardized DALYs (per 100,000)",2000,Africa,Central African Republic,Communicable & other Group I,"90,789",90788.88281
"Age-standardized DALYs (per 100,000)",2000,Africa,Central African Republic,Noncommunicable diseases,"24,905",24904.67969
"Age-standardized DALYs (per 100,000)",2000,Africa,Central African Republic,Injuries,"6,438",6438.35107
"Age-standardized DALYs (per 100,000)",2012,Africa,Central African Republic,All Causes,"97,115",97115.46875
"Age-standardized DALYs (per 100,000)",2012,Africa,Central African Republic,Communicable & other Group I,"65,903",65903.42969
"Age-standardized DALYs (per 100,000)",2012,Africa,Central African Republic,Noncommunicable diseases,"24,491",24490.91016
"Age-standardized DALYs (per 100,000)",2012,Africa,Central African Republic,Injuries,"6,721",6721.14307
"Age-standardized DALYs (per 100,000)",2000,Americas,Canada,All Causes,"21,044",21044.24023
"Age-standardized DALYs (per 100,000)",2000,Americas,Canada,Communicable & other Group I,"1,246",1245.86096
"Age-standardized DALYs (per 100,000)",2000,Americas,Canada,Noncommunicable diseases,"17,691",17690.64063
"Age-standardized DALYs (per 100,000)",2000,Americas,Canada,Injuries,"2,108",2107.74194
"Age-standardized DALYs (per 100,000)",2012,Americas,Canada,All Causes,"18,838",18837.56055
"Age-standardized DALYs (per 100,000)",2012,Americas,Canada,Communicable & other Group I,"1,311",1310.78296
"Age-standardized DALYs (per 100,000)",2012,Americas,Canada,Noncommunicable diseases,"15,725",15724.51953
"Age-standardized DALYs (per 100,000)",2012,Americas,Canada,Injuries,"1,802",1802.255
"Age-standardized DALYs (per 100,000)",2000,Europe,Switzerland,All Causes,"20,584",20583.51953
"Age-standardized DALYs (per 100,000)",2000,Europe,Switzerland,Communicable & other Group I,"1,161",1160.80896
"Age-standardized DALYs (per 100,000)",2000,Europe,Switzerland,Noncommunicable diseases,"16,877",16876.80078
"Age-standardized DALYs (per 100,000)",2000,Europe,Switzerland,Injuries,"2,546",2545.90796
"Age-standardized DALYs (per 100,000)",2012,Europe,Switzerland,All Causes,"17,679",17678.61914
"Age-standardized DALYs (per 100,000)",2012,Europe,Switzerland,Communicable & other Group I,961,961.23541
"Age-standardized DALYs (per 100,000)",2012,Europe,Switzerland,Noncommunicable diseases,"14,872",14871.9502
"Age-standardized DALYs (per 100,000)",2012,Europe,Switzerland,Injuries,"1,845",1845.42798
"Age-standardized DALYs (per 100,000)",2000,Americas,Chile,All Causes,"24,547",24546.56055
"Age-standardized DALYs (per 100,000)",2000,Americas,Chile,Communicable & other Group I,"2,545",2544.79712
"Age-standardized DALYs (per 100,000)",2000,Americas,Chile,Noncommunicable diseases,"18,807",18806.66016
"Age-standardized DALYs (per 100,000)",2000,Americas,Chile,Injuries,"3,195",3195.1001
"Age-standardized DALYs (per 100,000)",2012,Americas,Chile,All Causes,"21,333",21332.61914
"Age-standardized DALYs (per 100,000)",2012,Americas,Chile,Communicable & other Group I,"2,001",2001.25305
"Age-standardized DALYs (per 100,000)",2012,Americas,Chile,Noncommunicable diseases,"16,750",16750.25
"Age-standardized DALYs (per 100,000)",2012,Americas,Chile,Injuries,"2,581",2581.11401
"Age-standardized DALYs (per 100,000)",2000,Western Pacific,China,All Causes,"32,966",32966.23828
"Age-standardized DALYs (per 100,000)",2000,Western Pacific,China,Communicable & other Group I,"7,091",7091.40918
"Age-standardized DALYs (per 100,000)",2000,Western Pacific,China,Noncommunicable diseases,"21,614",21614.4707
"Age-standardized DALYs (per 100,000)",2000,Western Pacific,China,Injuries,"4,260",4260.35889
"Age-standardized DALYs (per 100,000)",2012,Western Pacific,China,All Causes,"24,811",24811
"Age-standardized DALYs (per 100,000)",2012,Western Pacific,China,Communicable & other Group I,"3,282",3282.2019
"Age-standardized DALYs (per 100,000)",2012,Western Pacific,China,Noncommunicable diseases,"18,748",18748.06055
"Age-standardized DALYs (per 100,000)",2012,Western Pacific,China,Injuries,"2,781",2780.73804
"Age-standardized DALYs (per 100,000)",2000,Africa,C̫te d'Ivoire,All Causes,"106,763",106762.7031
"Age-standardized DALYs (per 100,000)",2000,Africa,C̫te d'Ivoire,Communicable & other Group I,"70,408",70407.65625
"Age-standardized DALYs (per 100,000)",2000,Africa,C̫te d'Ivoire,Noncommunicable diseases,"29,904",29904.4707
"Age-standardized DALYs (per 100,000)",2000,Africa,C̫te d'Ivoire,Injuries,"6,451",6450.60498
"Age-standardized DALYs (per 100,000)",2012,Africa,C̫te d'Ivoire,All Causes,"88,856",88855.67969
"Age-standardized DALYs (per 100,000)",2012,Africa,C̫te d'Ivoire,Communicable & other Group I,"48,603",48602.92969
"Age-standardized DALYs (per 100,000)",2012,Africa,C̫te d'Ivoire,Noncommunicable diseases,"33,045",33044.83984
"Age-standardized DALYs (per 100,000)",2012,Africa,C̫te d'Ivoire,Injuries,"7,208",7207.91699
"Age-standardized DALYs (per 100,000)",2000,Africa,Cameroon,All Causes,"94,590",94590.03906
"Age-standardized DALYs (per 100,000)",2000,Africa,Cameroon,Communicable & other Group I,"59,027",59026.96094
"Age-standardized DALYs (per 100,000)",2000,Africa,Cameroon,Noncommunicable diseases,"29,107",29106.71094
"Age-standardized DALYs (per 100,000)",2000,Africa,Cameroon,Injuries,"6,456",6456.36182
"Age-standardized DALYs (per 100,000)",2012,Africa,Cameroon,All Causes,"77,369",77368.50781
"Age-standardized DALYs (per 100,000)",2012,Africa,Cameroon,Communicable & other Group I,"42,373",42373.17969
"Age-standardized DALYs (per 100,000)",2012,Africa,Cameroon,Noncommunicable diseases,"29,023",29023.25977
"Age-standardized DALYs (per 100,000)",2012,Africa,Cameroon,Injuries,"5,972",5972.07422
"Age-standardized DALYs (per 100,000)",2000,Africa,Democratic Republic of the Congo,All Causes,"104,899",104899.1016
"Age-standardized DALYs (per 100,000)",2000,Africa,Democratic Republic of the Congo,Communicable & other Group I,"67,894",67894.14844
"Age-standardized DALYs (per 100,000)",2000,Africa,Democratic Republic of the Congo,Noncommunicable diseases,"27,964",27964.2793
"Age-standardized DALYs (per 100,000)",2000,Africa,Democratic Republic of the Congo,Injuries,"9,041",9040.6582
